date,30_year_mortgage_rate
1958-11,5.60
1958-12,5.60
1959-01,5.60
1959-02,5.58
1959-03,5.57
1959-04,5.58
1959-05,5.64
1959-06,5.71
1959-07,5.75
1959-08,5.80
1959-09,5.94
1959-10,6.08
1959-11,6.23
1959-12,6.23
1960-01,6.24
1960-02,6.23
1960-03,6.22
1960-04,6.21
1960-05,6.21
1960-06,6.19
1960-07,6.18
1960-08,6.14
1960-09,6.11
1960-10,6.09
1960-11,6.05
1960-12,6.04
1961-01,6.00
1961-02,5.89
1961-03,5.82
1961-04,5.77
1961-05,5.74
1961-06,5.72
1961-07,5.68
1961-08,5.68
1961-09,5.69
1961-10,5.70
1961-11,5.70
1961-12,5.69
1962-01,5.69
1962-02,5.68
1962-03,5.65
1962-04,5.64
1962-05,5.60
1962-06,5.59
1962-07,5.58
1962-08,5.57
1962-09,5.56
1962-10,5.55
1962-11,5.54
1962-12,5.53
1963-01,5.52
1963-02,5.48
1963-03,5.47
1963-04,5.46
1963-05,5.45
1963-06,5.45
1963-07,5.45
1963-08,5.45
1963-09,5.45
1963-10,5.45
1963-11,5.45
1963-12,5.45
1964-01,5.45
1964-02,5.45
1964-03,5.45
1964-04,5.45
1964-05,5.45
1964-06,5.45
1964-07,5.45
1964-08,5.46
1964-09,5.46
1964-10,5.46
1964-11,5.45
1964-12,5.45
1965-01,5.45
1965-02,5.45
1965-03,5.45
1965-04,5.45
1965-05,5.45
1965-06,5.45
1965-07,5.44
1965-08,5.44
1965-09,5.45
1965-10,5.46
1965-11,5.49
1965-12,5.51
1966-01,5.62
1966-02,5.70
1966-03,5.85
1966-04,6.00
1966-05,6.16
1966-06,6.32
1966-07,6.45
1966-08,6.51
1966-09,6.58
1966-10,6.63
1966-11,6.72
1966-12,6.81
1967-01,6.77
1967-02,6.62
1967-03,6.46
1967-04,6.35
1967-05,6.29
1967-06,6.44
1967-07,6.51
1967-08,6.53
1967-09,6.60
1967-10,6.63
1967-11,6.65
1967-12,6.77
1968-01,6.81
1968-02,6.81
1968-03,6.78
1968-04,6.83
1968-05,6.94
1968-06,7.23
1968-07,7.52
1968-08,7.42
1968-09,7.35
1968-10,7.28
1968-11,7.29
1968-12,7.36
1969-01,7.50
1969-02,7.75
1969-03,7.99
1969-04,8.05
1969-05,8.06
1969-06,8.06
1969-07,8.35
1969-08,8.36
1969-09,8.36
1969-10,8.40
1969-11,8.48
1969-12,8.48
1970-01,8.62
1970-02,8.96
1970-03,9.29
1970-04,9.20
1970-05,9.10
1970-06,9.11
1970-07,9.16
1970-08,9.11
1970-09,9.07
1970-10,9.01
1970-11,8.97
1970-12,8.90
1971-01,8.40
1971-02,8.04
1971-03,7.68
1971-04,7.32
1971-05,7.37
1971-06,7.75
1971-07,7.89
1971-08,7.97
1971-09,7.92
1971-10,7.84
1971-11,7.75
1971-12,7.62
1972-01,7.59
1972-02,7.49
1972-03,7.46
1972-04,7.45
1972-05,7.50
1972-06,7.53
1972-07,7.54
1972-08,7.54
1972-09,7.55
1972-10,7.56
1972-11,7.57
1972-12,7.57
1973-01,7.55
1973-02,7.56
1973-03,7.63
1973-04,7.73
1973-05,7.79
1973-06,7.89
1973-07,8.19
1973-08,8.69
1973-09,9.18
1973-10,8.97
1973-11,8.86
1973-12,8.78
1974-01,8.66
1974-02,8.54
1974-03,8.66
1974-04,9.17
1974-05,9.46
1974-06,9.46
1974-07,9.85
1974-08,10.30
1974-09,10.38
1974-10,10.13
1974-11,9.82
1974-12,9.51
1975-01,9.51
1975-02,8.99
1975-03,8.84
1975-04,8.69
1975-05,8.93
1975-06,9.16
1975-07,9.06
1975-08,9.13
1975-09,9.32
1975-10,9.74
1975-11,9.53
1975-12,9.41
1976-01,9.32
1976-02,9.06
1976-03,9.04
1976-04,8.93
1976-05,8.82
1976-06,9.03
1976-07,9.05
1976-08,8.99
1976-09,8.93
1976-10,8.82
1976-11,8.55
1976-12,8.45
1977-01,8.28
1977-02,8.45
1977-03,8.55
1977-04,8.65
1977-05,8.64
1977-06,8.71
1977-07,8.77
1977-08,8.77
1977-09,8.77
1977-10,8.74
1977-11,8.81
1977-12,8.81
1978-01,8.96
1978-02,9.18
1978-03,9.27
1978-04,9.35
1978-05,9.44
1978-06,9.74
1978-07,9.85
1978-08,9.96
1978-09,9.81
1978-10,9.81
1978-11,9.98
1978-12,10.04
1979-01,10.23
1979-02,10.24
1979-03,10.24
1979-04,10.26
1979-05,10.44
1979-06,10.61
1979-07,10.49
1979-08,10.46
1979-09,10.58
1979-10,11.37
1979-11,11.89
1979-12,12.41
1980-01,12.24
1980-02,12.60
1980-03,13.62
1980-04,14.63
1980-05,13.45
1980-06,11.99
1980-07,11.85
1980-08,12.39
1980-09,13.54
1980-10,14.26
1980-11,14.38
1980-12,14.47
1981-01,14.08
1981-02,14.23
1981-03,14.79
1981-04,15.04
1981-05,15.91
1981-06,16.03
1981-07,16.31
1981-08,16.76
1981-09,17.96
1981-10,18.55
1981-11,17.43
1981-12,15.98
1982-01,16.43
1982-02,17.38
1982-03,17.10
1982-04,16.41
1982-05,16.31
1982-06,16.19
1982-07,16.73
1982-08,16.29
1982-09,14.61
1982-10,14.03
1982-11,12.99
1982-12,12.82
1983-01,12.80
1983-02,12.87
1983-03,12.65
1983-04,12.68
1983-05,12.50
1983-06,12.41
1983-07,12.96
1983-08,14.23
1983-09,13.78
1983-10,13.55
1983-11,13.23
1983-12,13.23
1984-01,13.25
1984-02,13.08
1984-03,13.20
1984-04,13.68
1984-05,13.80
1984-06,15.01
1984-07,14.91
1984-08,14.58
1984-09,14.21
1984-10,13.99
1984-11,13.43
1984-12,12.90
1985-01,12.99
1985-02,13.01
1985-03,13.27
1985-04,13.43
1985-05,12.97
1985-06,12.28
1985-07,11.89
1985-08,12.12
1985-09,11.99
1985-10,12.04
1985-11,11.87
1985-12,11.28
1986-01,10.70
1986-02,10.78
1986-03,10.59
1986-04,9.77
1986-05,9.80
1986-06,10.07
1986-07,9.98
1986-08,10.01
1986-09,9.80
1986-10,9.90
1986-11,9.80
1986-12,9.26
1987-01,9.21
1987-02,8.79
1987-03,8.81
1987-04,8.94
1987-05,10.02
1987-06,10.61
1987-07,10.33
1987-08,10.38
1987-09,10.55
1987-10,11.22
1987-11,10.90
1987-12,10.76
1988-01,10.63
1988-02,10.17
1988-03,9.86
1988-04,10.28
1988-05,10.46
1988-06,10.84
1988-07,10.65
1988-08,10.66
1988-09,10.74
1988-10,10.58
1988-11,10.23
1988-12,10.63
1989-01,10.81
1989-02,10.69
1989-03,10.88
1989-04,11.16
1989-05,10.88
1989-06,10.55
1989-07,10.08
1989-08,9.61
1989-09,9.95
1989-10,9.94
1989-11,9.73
1989-12,9.69
1990-01,9.72
1990-02,10.01
1990-03,10.22
1990-04,10.30
1990-05,10.75
1990-06,10.23
1990-07,10.18
1990-08,10.11
1990-09,10.28
1990-10,10.24
1990-11,10.23
1990-12,9.81
1991-01,9.66
1991-02,9.58
1991-03,9.57
1991-04,9.61
1991-05,9.61
1991-06,9.62
1991-07,9.71
1991-08,9.59
1991-09,9.14
1991-10,9.06
1991-11,8.71
1991-12,8.69
1992-01,8.10
1992-02,8.72
1992-03,8.74
1992-04,8.85
1992-05,8.79
1992-06,8.66
1992-07,8.56
1992-08,8.12
1992-09,8.08
1992-10,8.06
1992-11,8.29
1992-12,8.54
1993-01,8.12
1993-02,8.04
1993-03,7.55
1993-04,7.57
1993-05,7.56
1993-06,7.59
1993-07,7.52
1993-08,7.51
1993-09,7.02
1993-10,7.03
1993-11,7.08
1993-12,7.51
1994-01,7.52
1994-02,7.05
1994-03,7.59
1994-04,8.57
1994-05,8.63
1994-06,8.63
1994-07,9.03
1994-08,8.65
1994-09,8.66
1994-10,9.10
1994-11,9.23
1994-12,9.53
1995-01,9.54
1995-02,9.10
1995-03,9.05
1995-04,8.60
1995-05,8.56
1995-06,8.03
1995-07,8.00
1995-08,8.09
1995-09,8.03
1995-10,8.03
1995-11,7.61
1995-12,7.51
1996-01,7.52
1996-02,7.11
1996-03,7.57
1996-04,8.09
1996-05,8.52
1996-06,8.57
1996-07,8.55
1996-08,8.56
1996-09,8.58
1996-10,8.56
1996-11,8.00
1996-12,8.14
1997-01,8.06
1997-02,8.06
1997-03,8.08
1997-04,8.55
1997-05,8.56
1997-06,8.05
1997-07,8.02
1997-08,7.61
1997-09,8.02
1997-10,7.52
1997-11,7.53
1997-12,7.51
1998-01,7.17
1998-02,7.08
1998-03,7.06
1998-04,7.09
1998-05,7.37
1998-06,7.07
1998-07,7.07
1998-08,7.05
1998-09,7.03
1998-10,6.53
1998-11,7.07
1998-12,7.02
1999-01,7.06
1999-02,7.08
1999-03,7.10
1999-04,7.07
1999-05,7.08
1999-06,7.58
1999-07,8.13
1999-08,8.00
1999-09,8.10
1999-10,8.05
1999-11,8.02
1999-12,8.06
2000-01,8.55
2000-02,8.56
2000-03,8.53
2000-04,8.35
2000-05,8.33
2000-06,8.54
2000-07,8.16
2000-08,8.12
2000-09,7.96
2000-10,7.83
2000-11,7.73
2000-12,7.65
2001-01,7.07
2001-02,7.09
2001-03,7.03
2001-04,7.01
2001-05,7.14
2001-06,7.24
2001-07,7.19
2001-08,7.00
2001-09,6.89
2001-10,6.64
2001-11,6.56
2001-12,6.84
2002-01,7.14
2002-02,7.02
2002-03,6.80
2002-04,7.13
2002-05,6.78
2002-06,6.71
2002-07,6.57
2002-08,6.43
2002-09,6.15
2002-10,6.01
2002-11,6.13
2002-12,6.19
2003-01,5.85
2003-02,5.88
2003-03,5.67
2003-04,5.79
2003-05,5.70
2003-06,5.26
2003-07,5.40
2003-08,6.14
2003-09,6.44
2003-10,5.77
2003-11,5.98
2003-12,6.02
2004-01,5.87
2004-02,5.72
2004-03,5.59
2004-04,5.52
2004-05,6.12
2004-06,6.28
2004-07,6.21
2004-08,5.99
2004-09,5.77
2004-10,5.82
2004-11,5.70
2004-12,5.81
2005-01,5.77
2005-02,5.63
2005-03,5.79
2005-04,5.93
2005-05,5.75
2005-06,5.62
2005-07,5.62
2005-08,5.82
2005-09,5.71
2005-10,5.98
2005-11,6.31
2005-12,6.26
2006-01,6.21
2006-02,6.23
2006-03,6.24
2006-04,6.43
2006-05,6.59
2006-06,6.67
2006-07,6.79
2006-08,6.63
2006-09,6.47
2006-10,6.30
2006-11,6.31
2006-12,6.11
2007-01,6.18
2007-02,6.34
2007-03,6.18
2007-04,6.17
2007-05,6.16
2007-06,6.53
2007-07,6.63
2007-08,6.68
2007-09,6.46
2007-10,6.37
2007-11,6.26
2007-12,5.96
2008-01,6.07
2008-02,5.67
