date,median_price_all_houses,median_price_new_houses
2020-08,331466.67,321400.00
2020-09,335033.33,332200.00
2020-10,338600.00,335000.00
2020-11,344066.67,333600.00
2020-12,349533.33,339300.00
2021-01,355000.00,354800.00
2021-02,359266.67,351400.00
2021-03,363533.33,342700.00
2021-04,367800.00,364400.00
2021-05,376933.33,372700.00
2021-06,386066.67,361100.00
2021-07,395200.00,385000.00
2021-08,401466.67,402700.00
2021-09,407733.33,398500.00
2021-10,414000.00,416800.00
2021-11,413833.33,419600.00
2021-12,413666.67,410600.00
2022-01,413500.00,413600.00
2022-02,421566.67,402300.00
2022-03,429633.33,420100.00
2022-04,437700.00,439500.00
2022-05,437800.00,429400.00
2022-06,437900.00,431700.00
2022-07,438000.00,442900.00
2022-08,439533.33,431900.00
2022-09,441066.67,434200.00
2022-10,442600.00,460300.00
2022-11,438066.67,427700.00
2022-12,433533.33,427900.00
2023-01,429000.00,408200.00
2023-02,425500.00,433300.00
2023-03,422000.00,438900.00
2023-04,418500.00,417200.00
2023-05,424133.33,421200.00
2023-06,429766.67,417600.00
2023-07,435400.00,435800.00
2023-08,431333.33,440900.00
2023-09,427266.67,426100.00
2023-10,423200.00,417500.00
2023-11,424400.00,429600.00
2023-12,425600.00,418300.00
2024-01,426800.00,430400.00
2024-02,422700.00,420900.00
2024-03,418600.00,436400.00
2024-04,414500.00,415300.00
2024-05,414766.67,414300.00
2024-06,415033.33,414000.00
2024-07,415300.00,429000.00
2024-08,416633.33,405800.00
2024-09,417966.67,421100.00
2024-10,419300.00,426300.00
2024-11,418500.00,397600.00
2024-12,417700.00,423000.00
