date,home_price_index,building_cost_index,population_millions
1921-03,5.83984664,164.1667,108.7898
1921-04,5.84661692,163.2500,108.9158
1921-05,5.85338719,162.3333,109.0417
1921-06,5.86015747,161.4167,109.1676
1921-07,5.86692775,160.5000,109.2935
1921-08,5.87369802,159.5833,109.4194
1921-09,5.88046830,158.6667,109.5453
1921-10,5.88723857,157.7500,109.6713
1921-11,5.89400885,156.8333,109.7972
1921-12,5.90077913,155.9167,109.9231
1922-01,5.90754940,155.0000,110.0490
1922-02,5.91480327,157.5833,110.2072
1922-03,5.92205714,160.1667,110.3653
1922-04,5.92931100,162.7500,110.5235
1922-05,5.93656487,165.3333,110.6817
1922-06,5.94381874,167.9167,110.8398
1922-07,5.95107260,170.5000,110.9980
1922-08,5.95832647,173.0833,111.1562
1922-09,5.96558034,175.6667,111.3143
1922-10,5.97283421,178.2500,111.4725
1922-11,5.98008807,180.8333,111.6307
1922-12,5.98734194,183.4167,111.7888
1923-01,5.99459581,186.0000,111.9470
1923-02,5.99556299,186.0000,112.1272
1923-03,5.99653017,186.0000,112.3073
1923-04,5.99749735,186.0000,112.4875
1923-05,5.99846454,186.0000,112.6677
1923-06,5.99943172,186.0000,112.8478
1923-07,6.00039890,186.0000,113.0280
1923-08,6.00136608,186.0000,113.2082
1923-09,6.00233326,186.0000,113.3883
1923-10,6.00330045,186.0000,113.5685
1923-11,6.00426763,186.0000,113.7487
1923-12,6.00523481,186.0000,113.9288
1924-01,6.00620199,186.0000,114.1090
1924-02,6.03231592,185.7500,114.2523
1924-03,6.05842984,185.5000,114.3957
1924-04,6.08454376,185.2500,114.5390
1924-05,6.11065768,185.0000,114.6823
1924-06,6.13677160,184.7500,114.8257
1924-07,6.16288552,184.5000,114.9690
1924-08,6.18899945,184.2500,115.1123
1924-09,6.21511337,184.0000,115.2557
1924-10,6.24122729,183.7500,115.3990
1924-11,6.26734121,183.5000,115.5423
1924-12,6.29345513,183.2500,115.6857
1925-01,6.31956905,183.0000,115.8290
1925-02,6.29829104,183.1667,115.9597
1925-03,6.27701303,183.3333,116.0903
1925-04,6.25573502,183.5000,116.2210
1925-05,6.23445701,183.6667,116.3517
1925-06,6.21317900,183.8333,116.4823
1925-07,6.19190099,184.0000,116.6130
1925-08,6.17062298,184.1667,116.7437
1925-09,6.14934497,184.3333,116.8743
1925-10,6.12806696,184.5000,117.0050
1925-11,6.10678895,184.6667,117.1357
1925-12,6.08551094,184.8333,117.2663
1926-01,6.06423293,185.0000,117.3970
1926-02,6.04537288,185.0833,117.5335
1926-03,6.02651282,185.1667,117.6700
1926-04,6.00765277,185.2500,117.8065
1926-05,5.98879271,185.3333,117.9430
1926-06,5.96993266,185.4167,118.0795
1926-07,5.95107260,185.5000,118.2160
1926-08,5.93221255,185.5833,118.3525
1926-09,5.91335249,185.6667,118.4890
1926-10,5.89449244,185.7500,118.6255
1926-11,5.87563239,185.8333,118.7620
1926-12,5.85677233,185.9167,118.8985
1927-01,5.83791228,186.0000,119.0350
1927-02,5.84516614,186.1667,119.1578
1927-03,5.85242001,186.3333,119.2807
1927-04,5.85967388,186.5000,119.4035
1927-05,5.86692775,186.6667,119.5263
1927-06,5.87418161,186.8333,119.6492
1927-07,5.88143548,187.0000,119.7720
1927-08,5.88868935,187.1667,119.8948
1927-09,5.89594321,187.3333,120.0177
1927-10,5.90319708,187.5000,120.1405
1927-11,5.91045095,187.6667,120.2633
1927-12,5.91770482,187.8333,120.3862
1928-01,5.92495868,188.0000,120.5090
1928-02,5.91480327,188.2500,120.6231
1928-03,5.90464785,188.5000,120.7372
1928-04,5.89449244,188.7500,120.8513
1928-05,5.88433703,189.0000,120.9653
1928-06,5.87418161,189.2500,121.0794
1928-07,5.86402620,189.5000,121.1935
1928-08,5.85387078,189.7500,121.3076
1928-09,5.84371537,190.0000,121.4217
1928-10,5.83355996,190.2500,121.5358
1928-11,5.82340454,190.5000,121.6498
1928-12,5.81324913,190.7500,121.7639
1929-01,5.80309371,191.0000,121.8780
1929-02,5.78229930,190.5000,121.9872
1929-03,5.76150488,190.0000,122.0963
1929-04,5.74071046,189.5000,122.2055
1929-05,5.71991604,189.0000,122.3147
1929-06,5.69912162,188.5000,122.4238
1929-07,5.67832720,188.0000,122.5330
1929-08,5.65753278,187.5000,122.6422
1929-09,5.63673836,187.0000,122.7513
1929-10,5.61594394,186.5000,122.8605
1929-11,5.59514952,186.0000,122.9697
1929-12,5.57435510,185.5000,123.0788
1930-01,5.55356068,185.0000,123.1880
1930-02,5.51584058,183.5833,123.2681
1930-03,5.47812047,182.1667,123.3482
1930-04,5.44040036,180.7500,123.4283
1930-05,5.40268025,179.3333,123.5083
1930-06,5.36496014,177.9167,123.5884
1930-07,5.32724003,176.5000,123.6685
1930-08,5.28951992,175.0833,123.7486
1930-09,5.25179981,173.6667,123.8287
1930-10,5.21407970,172.2500,123.9088
1930-11,5.17635959,170.8333,123.9888
1930-12,5.13863948,169.4167,124.0689
1931-01,5.10091937,168.0000,124.1490
1931-02,5.05642899,164.9167,124.2157
1931-03,5.01193860,161.8333,124.2823
1931-04,4.96744822,158.7500,124.3490
1931-05,4.92295783,155.6667,124.4157
1931-06,4.87846745,152.5833,124.4823
1931-07,4.83397706,149.5000,124.5490
1931-08,4.78948668,146.4167,124.6157
1931-09,4.74499629,143.3333,124.6823
1931-10,4.70050591,140.2500,124.7490
1931-11,4.65601552,137.1667,124.8157
1931-12,4.61152514,134.0833,124.8823
1932-01,4.56703475,131.0000,124.9490
1932-02,4.55252702,132.4167,125.0108
1932-03,4.53801928,133.8333,125.0725
1932-04,4.52351155,135.2500,125.1343
1932-05,4.50900382,136.6667,125.1960
1932-06,4.49449608,138.0833,125.2578
1932-07,4.47998835,139.5000,125.3195
1932-08,4.46548061,140.9167,125.3813
1932-09,4.45097288,142.3333,125.4430
1932-10,4.43646514,143.7500,125.5048
1932-11,4.42195741,145.1667,125.5665
1932-12,4.40744968,146.5833,125.6283
1933-01,4.39294194,148.0000,125.6900
1933-02,4.40358095,149.5833,125.7563
1933-03,4.41421995,151.1667,125.8225
1933-04,4.42485896,152.7500,125.8888
1933-05,4.43549796,154.3333,125.9550
1933-06,4.44613697,155.9167,126.0213
1933-07,4.45677597,157.5000,126.0875
1933-08,4.46741498,159.0833,126.1538
1933-09,4.47805398,160.6667,126.2200
1933-10,4.48869299,162.2500,126.2863
1933-11,4.49933199,163.8333,126.3525
1933-12,4.50997100,165.4167,126.4188
1934-01,4.52061000,167.0000,126.4850
1934-02,4.55739961,166.9167,126.5581
1934-03,4.59418921,166.8333,126.6312
1934-04,4.63097882,166.7500,126.7043
1934-05,4.66776842,166.6667,126.7773
1934-06,4.70455803,166.5833,126.8504
1934-07,4.74134763,166.5000,126.9235
1934-08,4.77813724,166.4167,126.9966
1934-09,4.81492684,166.3333,127.0697
1934-10,4.85171645,166.2500,127.1428
1934-11,4.88850605,166.1667,127.2158
1934-12,4.92529566,166.0833,127.2889
1935-01,4.96208526,166.0000,127.3620
1935-02,4.97539441,166.5000,127.4303
1935-03,4.98870355,167.0000,127.4985
1935-04,5.00201270,167.5000,127.5668
1935-05,5.01532184,168.0000,127.6350
1935-06,5.02863099,168.5000,127.7033
1935-07,5.04194013,169.0000,127.7715
1935-08,5.05524928,169.5000,127.8398
1935-09,5.06855843,170.0000,127.9080
1935-10,5.08186757,170.5000,127.9763
1935-11,5.09517672,171.0000,128.0445
1935-12,5.10848586,171.5000,128.1128
1936-01,5.12179501,172.0000,128.1810
1936-02,5.13273598,174.0000,128.2460
1936-03,5.14367695,176.0000,128.3110
1936-04,5.15461792,178.0000,128.3760
1936-05,5.16555889,180.0000,128.4410
1936-06,5.17649986,182.0000,128.5060
1936-07,5.18744083,184.0000,128.5710
1936-08,5.19838180,186.0000,128.6360
1936-09,5.20932277,188.0000,128.7010
1936-10,5.22026374,190.0000,128.7660
1936-11,5.23120471,192.0000,128.8310
1936-12,5.24214568,194.0000,128.8960
1937-01,5.25308665,196.0000,128.9610
1937-02,5.24926205,196.0833,129.0450
1937-03,5.24543745,196.1667,129.1290
1937-04,5.24161284,196.2500,129.2130
1937-05,5.23778824,196.3333,129.2970
1937-06,5.23396364,196.4167,129.3810
1937-07,5.23013903,196.5000,129.4650
1937-08,5.22631443,196.5833,129.5490
1937-09,5.22248983,196.6667,129.6330
1937-10,5.21866522,196.7500,129.7170
1937-11,5.21484062,196.8333,129.8010
1937-12,5.21101602,196.9167,129.8850
1938-01,5.20719141,197.0000,129.9690
1938-02,5.20154331,197.0000,130.0573
1938-03,5.19589522,197.0000,130.1455
1938-04,5.19024712,197.0000,130.2338
1938-05,5.18459902,197.0000,130.3220
1938-06,5.17895092,197.0000,130.4103
1938-07,5.17330282,197.0000,130.4985
1938-08,5.16765472,197.0000,130.5868
1938-09,5.16200663,197.0000,130.6750
1938-10,5.15635853,197.0000,130.7633
1938-11,5.15071043,197.0000,130.8515
1938-12,5.14506233,197.0000,130.9398
1939-01,5.13941423,197.0000,131.0280
1939-02,5.15357592,197.5000,131.1192
1939-03,5.16773761,198.0000,131.2103
1939-04,5.18189930,198.5000,131.3015
1939-05,5.19606099,199.0000,131.3927
1939-06,5.21022268,199.5000,131.4838
1939-07,5.22438437,200.0000,131.5750
1939-08,5.23854605,200.5000,131.6662
1939-09,5.25270774,201.0000,131.7573
1939-10,5.26686943,201.5000,131.8485
1939-11,5.28103112,202.0000,131.9397
1939-12,5.29519281,202.5000,132.0308
1940-01,5.30935450,203.0000,132.1220
1940-02,5.27225703,203.6667,132.2287
1940-03,5.23515956,204.3333,132.3353
1940-04,5.19806210,205.0000,132.4420
1940-05,5.16096463,205.6667,132.5487
1940-06,5.12386716,206.3333,132.6553
1940-07,5.08676969,207.0000,132.7620
1940-08,5.04967223,207.6667,132.8687
1940-09,5.01257476,208.3333,132.9753
1940-10,4.97547729,209.0000,133.0820
1940-11,4.93837982,209.6667,133.1887
1940-12,4.90128236,210.3333,133.2953
1941-01,4.86418489,211.0000,133.4020
1941-02,4.87769533,211.9167,133.5235
1941-03,4.89120577,212.8333,133.6450
1941-04,4.90471621,213.7500,133.7665
1941-05,4.91822665,214.6667,133.8880
1941-06,4.93173709,215.5833,134.0095
1941-07,4.94524753,216.5000,134.1310
1941-08,4.95875797,217.4167,134.2525
1941-09,4.97226841,218.3333,134.3740
1941-10,4.98577885,219.2500,134.4955
1941-11,4.99928930,220.1667,134.6170
1941-12,5.01279974,221.0833,134.7385
1942-01,5.02631018,222.0000,134.8600
1942-02,5.07425389,222.5833,135.0166
1942-03,5.12219760,223.1667,135.1732
1942-04,5.17014131,223.7500,135.3298
1942-05,5.21808502,224.3333,135.4863
1942-06,5.26602873,224.9167,135.6429
1942-07,5.31397244,225.5000,135.7995
1942-08,5.36191615,226.0833,135.9561
