,date,cape,caey,p-cape,p-caey,ern_cape,ern_caey
158,1884-03,14.703045626784428,0.06801311955247609,12.504663143816552,0.07997016700881633,13.07575813005592,0.07647740116126814
159,1884-04,14.322642607364589,0.06981951776732934,12.203028743319912,0.08194686917765495,12.828016242049468,0.07795437588565408
160,1884-05,13.437235734673148,0.07442006821534149,11.468506477125771,0.08719531196102348,11.979180728650158,0.08347816287706032
161,1884-06,12.883539700223775,0.07761842034628348,11.012018313733005,0.09080987440357845,11.501097495266924,0.08694822389007072
162,1884-07,13.021213833849014,0.07679775578221991,11.148124525858035,0.08970118674943965,11.638553589786211,0.08592132968117124
163,1884-08,13.83911893584283,0.07225893531488015,11.86999489611635,0.08424603453933938,12.412755016455318,0.08056229247047265
164,1884-09,13.550740639105111,0.07379670430073554,11.645023009711121,0.08587359588435944,12.147037251282105,0.08232460140800599
165,1884-10,13.25640590857204,0.07543522783602803,11.410109472415364,0.08764157806001432,11.903099931665043,0.08401172851954011
166,1884-11,13.287328150392517,0.07525967513419614,11.453946073655757,0.08730615576233719,11.950199530600853,0.08368061114287689
167,1884-12,13.416086224795988,0.07453738618284757,11.583502346694313,0.08632967560846386,12.08702361124052,0.08273335373234765
168,1885-01,13.111538485155355,0.07626870036130251,11.33982082736564,0.08818481484176241,11.834619426404842,0.08449785869487678
169,1885-02,13.367028528508785,0.07481094230233974,11.58577523483695,0.08631273952157534,12.085414403080069,0.08274436991959015
170,1885-03,13.71324916621568,0.07292217824376926,11.908188899992338,0.08397582608054223,12.420228534247236,0.08051381641188197
171,1885-04,13.527242148413544,0.07392489829253768,11.77167230615176,0.08494969737455313,12.271264305665674,0.08149119561692575
172,1885-05,13.691914626227337,0.07303580450936097,11.940025526203085,0.08375191475139157,12.438813209193933,0.08039352172768921
173,1885-06,13.956747142026998,0.07164993317022764,12.1941125613961,0.08200678769899024,12.698886224431483,0.07874706350830142
174,1885-07,14.30291157981094,0.06991583457815224,12.522784242093897,0.07985444615731821,13.031797681362983,0.07673538405450528
175,1885-08,15.103685082399814,0.06620900757294594,13.256970901954283,0.07543201289312512,13.778133694533267,0.07257877025803348
176,1885-09,15.089301332819552,0.06627212075253469,13.274463450334984,0.07533261165254591,13.783134184662138,0.07255243884317684
177,1885-10,15.960952859921491,0.0626529010376965,14.07475086490661,0.07104921498066141,14.596475649859014,0.06850968850207748
178,1885-11,16.79606471877812,0.059537755822171426,14.851309942593849,0.06733412768741566,15.376255141204188,0.06503534123339769
179,1885-12,16.27847662893665,0.06143080970011641,14.43504933572061,0.06927582834964237,14.918861936326422,0.06702924152445351
180,1886-01,16.65767124487009,0.06003240100611067,14.80969298417391,0.06752334441157089,15.281987595366271,0.06543651431200057
181,1886-02,16.96799057807061,0.05893449759999264,15.123639504086908,0.0661216501312245,15.579630804807067,0.06418637338257412
182,1886-03,16.796451665806917,0.05953638422546904,15.006714960424604,0.06663683575234014,15.434790595585596,0.0647886988687753
183,1886-04,16.748574076638537,0.0597065753433203,15.000176345342643,0.06666588291880227,15.40014658458945,0.06493444685784196
184,1886-05,16.804209214949328,0.059508899657734676,15.077533761728557,0.06632384419117066,15.461160586174717,0.06467819763117875
185,1886-06,17.765370746306203,0.05628928403917048,15.967873973443272,0.06262574477122847,16.352599715866777,0.06115235603973778
186,1886-07,17.773362074796573,0.056263975031378276,16.004392678025823,0.06248284581101344,16.367235540267487,0.06109767269736849
187,1886-08,17.649528535109273,0.05665873725809462,15.923691723078477,0.06279950763871439,16.257527068137076,0.06150996986250679
188,1886-09,18.062666821590486,0.05536281047960703,16.329493447626092,0.061238886754651625,16.642086844308206,0.06008861805345115
189,1886-10,18.467905406308958,0.05414799231418971,16.73468326440173,0.05975613545833969,17.01645837633824,0.058766635094322686
190,1886-11,18.8646928824946,0.05300907924814112,17.132213561715627,0.05836957357539849,17.38362590093067,0.05752539807857133
191,1886-12,18.09069190934006,0.05527704551110669,16.471416748137027,0.06071123178357462,16.668950213327214,0.05999178035821816
192,1887-01,17.415700617058437,0.057419452825257795,15.900358216625026,0.06289166485283486,16.044197311595006,0.06232782984271257
193,1887-02,17.031918144265603,0.058713292979081476,15.588943377725474,0.06414802952128666,15.688832149765778,0.06373960728586986
194,1887-03,17.382754229126746,0.057528282734642146,15.94238118882215,0.06272588693972143,16.00935778186573,0.062463467531016725
195,1887-04,17.728797056010222,0.05640540623487993,16.2951673339297,0.06136788776128772,16.32628272469951,0.06125092997973948
196,1887-05,17.979547194713764,0.05561875330731432,16.563092768952416,0.06037519767289501,16.55636531739909,0.06039973030488156
197,1887-06,17.614654667748184,0.05677091142927514,16.256031016290727,0.06151563066026791,16.221764632167023,0.061645574490524005
198,1887-07,17.33480054560148,0.05768742463285735,16.0266279722254,0.06239615730352189,15.962919240211782,0.06264518318685254
199,1887-08,16.651498856912685,0.0600546538538698,15.419823983604958,0.06485158332956617,15.332873994918373,0.06521934507069062
200,1887-09,16.590103605873722,0.06027689903310491,15.38311717562731,0.06500633054946621,15.276125018229072,0.06546162713428276
201,1887-10,15.79912496139649,0.06329464463654762,14.668204731193535,0.06817466883819742,14.54788823421588,0.06873849894227615
202,1887-11,15.872079147954098,0.06300371808118783,14.753318518907719,0.06778136042534492,14.612590962858837,0.0684341334498258
203,1887-12,15.380965552535056,0.06501542419976243,14.314653666897046,0.06985848370977513,14.158725326543216,0.07062782679492415
204,1888-01,15.293253060422499,0.06538831182934558,14.249379778374067,0.07017849306800535,14.07654963813842,0.07104013594998035
205,1888-02,15.355975309591475,0.06512122999933397,14.323739779546491,0.06981416972039277,14.134673773001069,0.07074800706827211
206,1888-03,14.752021450299704,0.06778732008823671,13.773589609717876,0.07260271493020642,13.580900636180797,0.07363281911774731
207,1888-04,14.962777769374354,0.06683251034087995,13.983124498600075,0.07151477483448819,13.775722301165203,0.07259147492508732
208,1888-05,15.33429537025868,0.06521329972158549,14.340476165039886,0.06973269147351346,14.120689093926142,0.07081807363283275
209,1888-06,15.03106603113808,0.06652888078120463,14.061552266898902,0.07111590392150478,13.846882264350866,0.07221842295680699
