,apr,15y_10d,15y_12d,15y_15d,15y_18d,15y_20d,30y_10d,30y_12d,30y_15d,30y_18d,30y_20d
138,0.013800000000000002,0.005538205225898476,0.005415133998656288,0.005230527157793005,0.0050459203169297235,0.004922849089687535,0.0030545227955182685,0.002986644511173418,0.0028848270846561423,0.002783009658138867,0.002715131373794017
139,0.013900000000000001,0.005542235141932076,0.005419074361000252,0.005234333189602515,0.00504959201820478,0.004926431237272956,0.003058799169902263,0.0029908258550155457,0.00288886588268547,0.002786905910355395,0.0027189325954686777
140,0.014,0.0055462669215485235,0.005423016545514112,0.005238140981462494,0.005053265417410877,0.004930015041376465,0.00306307922339815,0.0029950107962115244,0.002892908155431586,0.002790805514651648,0.002722737087465022
141,0.014100000000000001,0.005550300564608817,0.005426960552061954,0.0052419505332416605,0.005056940514421368,0.004933600501874504,0.0030673629550414328,0.0029991993338182896,0.0028969539019835754,0.0027947084701488616,0.0027265448489257184
142,0.0142,0.005554336070970295,0.005430906380504288,0.0052457618448052785,0.005060617309106268,0.004937187618640262,0.003071650363859938,0.003003391466885273,0.002901003121423275,0.002798614775961277,0.0027303558789866116
143,0.0143,0.005558373440492315,0.005434854030703597,0.005249574916020519,0.005064295801337443,0.004940776391548725,0.0030759414488766242,0.003007587194457144,0.0029050558128279227,0.0028025244311987024,0.002734170176779222
144,0.014400000000000001,0.005562412673032462,0.005438803502520629,0.00525338974675288,0.005067975990985131,0.004944366820473299,0.0030802362091077173,0.00301178651557199,0.0029091119752683993,0.0028064374349648087,0.002737987741429082
145,0.0145,0.005566453768448412,0.005442754795816226,0.005257206336867945,0.005071657877919664,0.0049479589052874775,0.0030845346435636376,0.0030159894292622236,0.002913171607810102,0.0028103537863579807,0.0027418085720565667
146,0.0146,0.005570496726594271,0.005446707910447731,0.005261024686227923,0.005075341462008114,0.004951552645861575,0.0030888367512471953,0.003020195934552813,0.0029172347095112404,0.002814273484469667,0.002745632667775285
147,0.014700000000000001,0.005574541547326082,0.005450662846274391,0.005264844794696855,0.005079026743119319,0.004955148042067628,0.0030931425311563183,0.0030244060304639555,0.0029213012794254115,0.002818196528386868,0.002749460027694505
148,0.0148,0.00557858823049814,0.005454619603153738,0.005268666662137132,0.005082713721120529,0.0049587450937761245,0.0030974519822822393,0.0030286197160093007,0.0029253713165998925,0.002822122917190485,0.002753290650917546
149,0.0149,0.005582636775964818,0.005458578180943378,0.005272490288411217,0.005086402395879056,0.0049623438008576165,0.0031017651036104,0.0030328369901968357,0.002929444820076489,0.0028260526499561426,0.0027571245365425783
150,0.015000000000000001,0.005586687183576986,0.005462538579497497,0.005276315673378264,0.0050900927672590315,0.004965944163179543,0.0031060818941186946,0.0030370578520271677,0.002933521788889878,0.0028299857257525884,0.0027609616836610615
151,0.0151,0.0055907394531873695,0.005466500798672094,0.005280142816899181,0.00509378483512627,0.004969546180610995,0.0031104023527801223,0.0030412823004961195,0.002937602222070115,0.002833922143644112,0.002764802091360109
152,0.0152,0.005594793584646991,0.005470464838321502,0.005283971718833269,0.005097478599345037,0.004973149853019548,0.003114726478561028,0.0030455103345930047,0.0029416861186409705,0.0028378619026889367,0.0027686457587209135
153,0.015300000000000001,0.0055988495778069155,0.0054744306983000954,0.005287802379039865,0.005101174059779634,0.004976755180272813,0.0031190542704219774,0.0030497419533014893,0.0029457734776207564,0.0028418050019400243,0.0027724926848195354
154,0.0154,0.005602907432514771,0.005478398378458887,0.005291634797375062,0.005104871216291237,0.004980362162235353,0.00312338572731605,0.0030539771555979154,0.002949864298020714,0.0028457514404435125,0.0027763428687253783
155,0.0155,0.005606967148619994,0.00548236787865066,0.005295468973696659,0.005108570068742661,0.004983970798773327,0.0031277208481914247,0.003058215940453837,0.002953958578847456,0.002849701217241076,0.0027801963095034883
156,0.015600000000000001,0.005611028725970322,0.005486339198726536,0.005299304907860859,0.005112270616995182,0.004987581089751397,0.00313205963198966,0.0030624583068343337,0.002958056319101345,0.0028536543313683565,0.002784053006213031
