,date,cpi
538,1915-11,10.3
539,1915-12,10.3
540,1916-01,10.4
541,1916-02,10.4
542,1916-03,10.5
543,1916-04,10.6
544,1916-05,10.7
545,1916-06,10.8
546,1916-07,10.8
547,1916-08,10.9
548,1916-09,11.1
549,1916-10,11.3
550,1916-11,11.5
551,1916-12,11.6
552,1917-01,11.7
553,1917-02,12.0
554,1917-03,12.0
555,1917-04,12.6
556,1917-05,12.8
557,1917-06,13.0
558,1917-07,12.8
559,1917-08,13.0
560,1917-09,13.3
561,1917-10,13.5
562,1917-11,13.5
563,1917-12,13.7
564,1918-01,14.0
565,1918-02,14.1
566,1918-03,14.0
567,1918-04,14.2
568,1918-05,14.5
569,1918-06,14.7
570,1918-07,15.1
571,1918-08,15.4
572,1918-09,15.7
573,1918-10,16.0
574,1918-11,16.3
575,1918-12,16.5
576,1919-01,16.5
577,1919-02,16.2
578,1919-03,16.4
579,1919-04,16.7
580,1919-05,16.9
581,1919-06,16.9
582,1919-07,17.4
583,1919-08,17.7
584,1919-09,17.8
585,1919-10,18.1
586,1919-11,18.5
587,1919-12,18.9
588,1920-01,19.3
589,1920-02,19.5
590,1920-03,19.7
591,1920-04,20.3
592,1920-05,20.6
593,1920-06,20.9
594,1920-07,20.8
595,1920-08,20.3
596,1920-09,20.0
597,1920-10,19.9
598,1920-11,19.8
599,1920-12,19.4
600,1921-01,19.0
601,1921-02,18.4
602,1921-03,18.3
603,1921-04,18.1
604,1921-05,17.7
605,1921-06,17.6
606,1921-07,17.7
607,1921-08,17.7
608,1921-09,17.5
609,1921-10,17.5
610,1921-11,17.4
611,1921-12,17.3
612,1922-01,16.9
613,1922-02,16.9
614,1922-03,16.7
615,1922-04,16.7
616,1922-05,16.7
617,1922-06,16.7
618,1922-07,16.8
619,1922-08,16.6
620,1922-09,16.6
621,1922-10,16.7
622,1922-11,16.8
623,1922-12,16.9
624,1923-01,16.8
625,1923-02,16.8
626,1923-03,16.8
627,1923-04,16.9
628,1923-05,16.9
629,1923-06,17.0
630,1923-07,17.2
631,1923-08,17.1
632,1923-09,17.2
633,1923-10,17.3
634,1923-11,17.3
635,1923-12,17.3
636,1924-01,17.3
637,1924-02,17.2
638,1924-03,17.1
639,1924-04,17.0
640,1924-05,17.0
641,1924-06,17.0
642,1924-07,17.1
643,1924-08,17.0
644,1924-09,17.1
