date,median_income
1987-06,25173.30
1987-07,25254.60
1987-08,25335.90
1987-09,25417.21
1987-10,25498.51
1987-11,25579.81
1987-12,25661.12
1988-01,25742.42
1988-02,25877.04
1988-03,26011.65
1988-04,26146.27
1988-05,26280.89
1988-06,26415.50
1988-07,26550.12
1988-08,26684.74
1988-09,26819.35
1988-10,26953.97
1988-11,27088.59
1988-12,27223.20
1989-01,27357.82
1989-02,27433.79
1989-03,27509.76
1989-04,27585.73
1989-05,27661.71
1989-06,27737.68
1989-07,27813.65
1989-08,27889.62
1989-09,27965.59
1989-10,28041.56
1989-11,28117.54
1989-12,28193.51
1990-01,28269.48
1990-02,28308.80
1990-03,28348.12
1990-04,28387.44
1990-05,28426.75
1990-06,28466.07
1990-07,28505.39
1990-08,28544.71
1990-09,28584.03
1990-10,28623.35
1990-11,28662.67
1990-12,28701.98
1991-01,28741.30
1991-02,28783.29
1991-03,28825.27
1991-04,28867.26
1991-05,28909.24
1991-06,28951.23
1991-07,28993.21
1991-08,29035.19
1991-09,29077.18
1991-10,29119.16
1991-11,29161.15
1991-12,29203.13
1992-01,29245.12
1992-02,29271.11
1992-03,29297.10
1992-04,29323.09
1992-05,29349.08
1992-06,29375.07
1992-07,29401.06
1992-08,29427.05
1992-09,29453.04
1992-10,29479.03
1992-11,29505.02
1992-12,29531.01
1993-01,29557.00
1993-02,29678.29
1993-03,29799.58
1993-04,29920.86
1993-05,30042.15
1993-06,30163.44
1993-07,30284.73
1993-08,30406.02
1993-09,30527.31
1993-10,30648.59
1993-11,30769.88
1993-12,30891.17
1994-01,31012.46
1994-02,31134.41
1994-03,31256.37
1994-04,31378.32
1994-05,31500.28
1994-06,31622.23
1994-07,31744.19
1994-08,31866.14
1994-09,31988.10
1994-10,32110.05
1994-11,32232.00
1994-12,32353.96
1995-01,32475.91
1995-02,32588.54
1995-03,32701.16
1995-04,32813.79
1995-05,32926.41
1995-06,33039.04
1995-07,33151.66
1995-08,33264.29
1995-09,33376.91
1995-10,33489.54
1995-11,33602.16
1995-12,33714.79
1996-01,33827.41
1996-02,33978.69
1996-03,34129.96
1996-04,34281.24
1996-05,34432.52
1996-06,34583.80
1996-07,34735.07
1996-08,34886.35
1996-09,35037.63
1996-10,35188.90
1996-11,35340.18
1996-12,35491.46
1997-01,35642.74
1997-02,35787.35
1997-03,35931.96
1997-04,36076.57
1997-05,36221.19
1997-06,36365.80
1997-07,36510.41
1997-08,36655.03
1997-09,36799.64
1997-10,36944.25
1997-11,37088.86
1997-12,37233.48
1998-01,37378.09
1998-02,37517.37
1998-03,37656.65
1998-04,37795.93
1998-05,37935.22
1998-06,38074.50
1998-07,38213.78
1998-08,38353.06
1998-09,38492.34
1998-10,38631.62
1998-11,38770.90
1998-12,38910.19
1999-01,39049.47
1999-02,39176.09
1999-03,39302.71
1999-04,39429.33
1999-05,39555.95
1999-06,39682.56
1999-07,39809.18
1999-08,39935.80
1999-09,40062.42
1999-10,40189.04
1999-11,40315.66
1999-12,40442.28
2000-01,40568.90
2000-02,40614.22
2000-03,40659.53
2000-04,40704.85
2000-05,40750.17
2000-06,40795.48
2000-07,40840.80
2000-08,40886.12
2000-09,40931.43
2000-10,40976.75
2000-11,41022.07
2000-12,41067.38
2001-01,41112.70
2001-02,41130.69
2001-03,41148.69
2001-04,41166.68
2001-05,41184.67
2001-06,41202.67
2001-07,41220.66
2001-08,41238.65
2001-09,41256.65
2001-10,41274.64
2001-11,41292.63
2001-12,41310.63
2002-01,41328.62
2002-02,41395.26
2002-03,41461.90
2002-04,41528.54
2002-05,41595.19
2002-06,41661.83
2002-07,41728.47
2002-08,41795.11
2002-09,41861.75
2002-10,41928.40
2002-11,41995.04
2002-12,42061.68
2003-01,42128.32
2003-02,42220.29
2003-03,42312.25
2003-04,42404.22
2003-05,42496.18
2003-06,42588.15
2003-07,42680.12
2003-08,42772.08
2003-09,42864.05
2003-10,42956.01
2003-11,43047.98
2003-12,43139.94
2004-01,43231.91
2004-02,43373.86
2004-03,43515.81
2004-04,43657.75
2004-05,43799.70
2004-06,43941.65
2004-07,44083.59
2004-08,44225.54
2004-09,44367.49
2004-10,44509.44
2004-11,44651.38
2004-12,44793.33
2005-01,44935.28
2005-02,45083.22
2005-03,45231.17
2005-04,45379.11
2005-05,45527.06
2005-06,45675.00
2005-07,45822.95
2005-08,45970.89
2005-09,46118.84
2005-10,46266.78
2005-11,46414.73
2005-12,46562.67
2006-01,46710.62
2006-02,46907.21
2006-03,47103.80
2006-04,47300.40
2006-05,47496.99
2006-06,47693.58
2006-07,47890.18
2006-08,48086.77
2006-09,48283.36
2006-10,48479.96
2006-11,48676.55
2006-12,48873.14
2007-01,49069.74
2007-02,49080.40
2007-03,49091.06
2007-04,49101.73
2007-05,49112.39
2007-06,49123.05
2007-07,49133.71
2007-08,49144.38
2007-09,49155.04
2007-10,49165.70
2007-11,49176.37
2007-12,49187.03
2008-01,49197.69
2008-02,49102.39
2008-03,49007.09
2008-04,48911.80
2008-05,48816.50
2008-06,48721.20
2008-07,48625.90
2008-08,48530.61
2008-09,48435.31
2008-10,48340.01
2008-11,48244.71
2008-12,48149.41
2009-01,48054.12
2009-02,48064.11
2009-03,48074.11
2009-04,48084.10
2009-05,48094.10
2009-06,48104.10
2009-07,48114.09
2009-08,48124.09
2009-09,48134.09
2009-10,48144.08
2009-11,48154.08
2009-12,48164.08
2010-01,48174.07
2010-02,48222.72
2010-03,48271.37
2010-04,48320.02
2010-05,48368.67
2010-06,48417.31
2010-07,48465.96
2010-08,48514.61
2010-09,48563.26
2010-10,48611.91
2010-11,48660.56
2010-12,48709.21
2011-01,48757.85
2011-02,48842.49
2011-03,48927.12
2011-04,49011.76
2011-05,49096.39
2011-06,49181.03
2011-07,49265.67
2011-08,49350.30
2011-09,49434.94
2011-10,49519.57
2011-11,49604.21
2011-12,49688.84
2012-01,49773.48
2012-02,49988.73
2012-03,50203.98
2012-04,50419.24
